variable,value,Season
AUC_rf,0.75,Winter
AUC_rf,0.548739053,Winter
AUC_rf,0.56902562,Winter
AUC_rf,0.550522779,Winter
AUC_rf,0.5,Winter
AUC_rf,0.63875625,Winter
AUC_rf,0.5,Winter
AUC_rf,0.51500625,Winter
AUC_rf,0.648500128,Winter
AUC_rf,0.637158261,Winter
AUC_rf,0.685575125,Winter
AUC_rf,0.57980625,Winter
AUC_rf,0.65800625,Winter
AUC_rf,0.51,Winter
AUC_rf,0.5,Winter
AUC_rf,0.665316167,Winter
AUC_rf,0.728802778,Winter
AUC_rf,0.640625,Winter
AUC_rf,0.659500391,Winter
AUC_rf,0.644671556,Winter
AUC_rf,0.66200625,Winter
AUC_rf,0.53900625,Winter
AUC_rf,0.547185494,Winter
AUC_rf,0.594976033,Winter
AUC_rf,0.695314892,Winter
AUC_rf,0.5,Winter
AUC_rf,0.613639958,Winter
AUC_rf,0.515625,Winter
AUC_rf,0.611111111,Winter
AUC_rf,0.73765625,Winter
AUC_rf,0.732660061,Winter
AUC_rf,0.673611111,Winter
AUC_rf,0.745025,Winter
AUC_rf,0.5324,Winter
AUC_rf,0.560025,Winter
AUC_rf,0.625771556,Winter
AUC_rf,0.54,Winter
AUC_rf,0.526950694,Winter
AUC_rf,0.5961,Winter
AUC_rf,0.538025,Winter
AUC_rf,0.5,Winter
AUC_rf,0.609450694,Winter
AUC_rf,0.5,Winter
AUC_rf,0.640625,Winter
AUC_rf,0.69140625,Winter
AUC_rf,0.671534028,Winter
AUC_rf,0.5,Winter
AUC_rf,0.587025,Winter
AUC_rf,0.525334028,Winter
AUC_rf,0.577403189,Winter
AUC_rf,0.5,Winter
AUC_rf,0.53705625,Winter
AUC_rf,0.582766864,Winter
AUC_rf,0.56125625,Winter
AUC_rf,0.598150294,Winter
AUC_rf,0.68705625,Winter
AUC_rf,0.544853189,Winter
AUC_rf,0.699053254,Winter
AUC_rf,0.5,Winter
AUC_rf,0.51,Winter
AUC_rf,0.502555864,Winter
AUC_rf,0.526950694,Winter
AUC_rf,NA,Winter
AUC_rf,0.684422531,Winter
AUC_rf,0.53900625,Winter
AUC_rf,0.53515625,Winter
AUC_rf,0.745025,Winter
AUC_rf,0.598082851,Winter
AUC_rf,0.5025,Winter
AUC_rf,0.619025,Winter
AUC_rf,0.573050077,Winter
AUC_rf,0.505102041,Winter
AUC_rf,0.596739295,Winter
AUC_rf,0.659334028,Winter
AUC_rf,0.669469444,Winter
AUC_rf,0.71207613,Winter
AUC_rf,0.5,Winter
AUC_rf,0.56125625,Winter
AUC_rf,0.500025,Winter
AUC_rf,0.505102041,Winter
AUC_rf,0.74750625,Winter
AUC_rf,0.632231405,Winter
AUC_rf,0.521025,Winter
AUC_rf,0.527777778,Winter
AUC_rf,0.54,Winter
AUC_rf,0.707540415,Winter
AUC_rf,0.611111111,Winter
AUC_rf,0.53900625,Winter
AUC_rf,0.51500625,Winter
AUC_rf,0.640625,Winter
AUC_rf,0.5,Winter
AUC_rf,0.571704938,Winter
AUC_rf,0.59,Winter
AUC_rf,0.520408163,Winter
AUC_rf,0.519004592,Winter
AUC_rf,0.596523192,Winter
AUC_rf,0.5,Winter
AUC_rf,0.51,Winter
AUC_rf,0.527777778,Winter
AUC_rf,0.594976033,Winter
AUC_rf,NA,Winter
AUC_rf,0.681536862,Winter
AUC_rf,0.59455625,Winter
AUC_rf,0.5,Winter
AUC_rf,0.640625,Winter
AUC_rf,0.689225,Winter
AUC_rf,0.5,Winter
AUC_rf,0.706772299,Winter
AUC_rf,0.593898469,Winter
AUC_rf,0.623816016,Winter
AUC_rf,0.636060382,Winter
AUC_rf,0.560025,Winter
AUC_rf,0.609450694,Winter
AUC_rf,0.74750625,Winter
AUC_rf,0.54,Winter
AUC_rf,0.640336686,Winter
AUC_rf,0.515625,Winter
AUC_rf,0.527777778,Winter
AUC_rf,0.69140625,Winter
AUC_rf,0.56125625,Winter
AUC_rf,0.515625,Winter
AUC_rf,0.515625,Winter
AUC_rf,0.673611111,Winter
AUC_rf,0.506534028,Winter
AUC_rf,0.659334028,Winter
AUC_rf,0.649296373,Winter
AUC_rf,0.593142345,Winter
AUC_rf,0.50950625,Winter
AUC_rf,0.75,Winter
AUC_rf,0.56125625,Winter
AUC_rf,0.56125625,Winter
AUC_rf,0.62755102,Winter
AUC_rf,0.64355679,Winter
AUC_rf,0.527777778,Winter
AUC_rf,0.587025,Winter
AUC_rf,0.593142345,Winter
AUC_rf,0.609450694,Winter
AUC_rf,0.5,Winter
AUC_rf,0.59,Winter
AUC_rf,0.611111111,Winter
AUC_rf,0.602934028,Winter
AUC_rf,0.602934028,Winter
AUC_rf,0.515625,Winter
AUC_rf,0.5,Winter
AUC_rf,0.515625,Winter
AUC_rf,0.671041327,Winter
AUC_rf,0.5625,Winter
AUC_rf,0.5,Winter
AUC_rf,0.626469141,Winter
AUC_rf,0.527777778,Winter
AUC_rf,0.6024,Winter
AUC_rf,0.515625,Winter
AUC_rf,0.5625,Winter
AUC_rf,0.50855625,Winter
AUC_rf,0.5625,Winter
AUC_rf,0.665457526,Winter
AUC_rf,0.652378699,Winter
AUC_rf,0.5625,Winter
AUC_rf,0.560025,Winter
AUC_rf,0.7025,Winter
AUC_rf,0.745025,Winter
AUC_rf,0.7209,Winter
AUC_rf,0.69311142,Winter
AUC_rf,0.611111111,Winter
AUC_rf,0.5961,Winter
AUC_rf,0.672225,Winter
AUC_rf,0.538025,Winter
AUC_rf,0.573050077,Winter
AUC_rf,0.673611111,Winter
AUC_rf,0.698025,Winter
AUC_rf,0.74750625,Winter
AUC_rf,0.74750625,Winter
AUC_rf,0.640625,Winter
AUC_rf,0.625058678,Winter
AUC_rf,0.673611111,Winter
AUC_rf,0.58850625,Winter
AUC_rf,0.660435078,Winter
AUC_rf,0.66,Winter
AUC_rf,0.5,Winter
AUC_rf,0.735225,Winter
AUC_rf,0.73765625,Winter
AUC_rf,0.715229719,Winter
AUC_rf,0.655367361,Winter
AUC_rf,0.5,Winter
AUC_rf,0.594976033,Winter
AUC_rf,0.624004592,Winter
AUC_rf,0.62755102,Winter
AUC_rf,0.526950694,Winter
AUC_rf,0.642216013,Winter
AUC_rf,0.515625,Winter
AUC_rf,0.59765625,Winter
AUC_rf,0.698025,Winter
AUC_rf,0.57880051,Winter
AUC_rf,0.607802778,Winter
AUC_rf,0.66487874,Winter
AUC_rf,0.527777778,Winter
AUC_rf,0.538025,Winter
AUC_rf,0.745025,Winter
AUC_rf,0.619329606,Winter
AUC_rf,0.527777778,Winter
AUC_rf,0.655817175,Winter
AUC_rf,0.7025,Winter
AUC_rf,0.51,Winter
AUC_rf,0.527777778,Winter
AUC_rf,0.560025,Winter
AUC_rf,0.544853189,Winter
AUC_rf,0.638646713,Winter
AUC_rf,0.505102041,Winter
AUC_rf,0.704345093,Winter
AUC_rf,0.75,Winter
AUC_rf,0.66,Winter
AUC_rf,0.545038272,Winter
AUC_rf,0.5,Winter
AUC_rf,0.5625,Winter
AUC_rf,0.69140625,Winter
AUC_rf,0.74255625,Winter
AUC_rf,0.75,Winter
AUC_rf,0.729180565,Winter
AUC_rf,0.686466942,Winter
AUC_rf,0.75,Winter
AUC_rf,0.5625,Winter
AUC_rf,0.64410784,Winter
AUC_rf,0.681536862,Winter
AUC_rf,0.5,Winter
AUC_rf,0.654336735,Winter
AUC_rf,0.66,Winter
AUC_rf,0.74750625,Winter
AUC_rf,0.688741975,Winter
AUC_rf,0.573022779,Winter
AUC_rf,0.623296746,Winter
AUC_rf,0.5625,Winter
AUC_rf,0.527777778,Winter
AUC_rf,0.527777778,Winter
AUC_rf,0.680625,Winter
AUC_rf,0.70025625,Winter
AUC_rf,0.688538781,Winter
AUC_rf,0.686868254,Winter
AUC_rf,0.527777778,Winter
AUC_rf,0.609450694,Winter
AUC_rf,0.75,Winter
AUC_rf,0.669594215,Winter
AUC_rf,0.515625,Winter
AUC_rf,0.56125625,Winter
AUC_rf,0.527777778,Winter
AUC_rf,0.74255625,Winter
AUC_rf,0.74750625,Winter
AUC_rf,0.611111111,Winter
AUC_rf,0.75,Winter
AUC_rf,0.515625,Winter
AUC_rf,0.705224621,Winter
AUC_rf,0.573022779,Winter
AUC_rf,0.5,Winter
AUC_rf,0.74255625,Winter
AUC_rf,0.75,Winter
AUC_rf,0.6369,Winter
AUC_rf,0.720638966,Winter
AUC_rf,0.731086224,Winter
AUC_rf,0.75,Winter
AUC_rf,0.609450694,Winter
AUC_rf,0.5,Winter
AUC_rf,0.611111111,Winter
AUC_rf,0.527777778,Winter
AUC_rf,0.515625,Winter
AUC_rf,0.5,Winter
AUC_rf,0.54380051,Winter
AUC_rf,0.609450694,Winter
AUC_rf,0.708427367,Winter
AUC_rf,0.669641016,Winter
AUC_rf,0.504412755,Winter
AUC_rf,0.50000625,Winter
AUC_rf,0.687475033,Winter
AUC_rf,0.5,Winter
AUC_rf,0.5,Winter
AUC_rf,0.683673469,Winter
AUC_rf,0.5625,Winter
AUC_rf,0.5,Winter
AUC_rf,0.75,Winter
AUC_rf,0.55880625,Winter
AUC_rf,0.6225,Winter
AUC_rf,0.5625,Winter
AUC_rf,0.54,Winter
AUC_rf,0.544853189,Winter
AUC_rf,0.70025625,Winter
AUC_rf,0.648225,Winter
AUC_rf,0.519004592,Winter
AUC_rf,0.526950694,Winter
AUC_rf,0.50950625,Winter
AUC_rf,0.724658445,Winter
AUC_rf,0.5625,Winter
AUC_rf,0.62780625,Winter
AUC_rf,0.527777778,Winter
AUC_rf,0.673611111,Winter
AUC_rf,0.611111111,Winter
AUC_rf,0.5,Winter
AUC_rf,0.63875625,Winter
AUC_rf,0.54,Winter
AUC_rf,0.53330625,Winter
AUC_rf,0.5,Winter
AUC_rf,0.74255625,Winter
AUC_rf,0.713626039,Winter
AUC_rf,0.75,Winter
AUC_rf,0.515625,Winter
AUC_rf,0.75,Winter
AUC_rf,0.5625,Winter
