sci_name,total_area_m2,lat_extent_deg,mid_lat,mid_lon,X,Latin_Name
Afronycteris nanus,1.04437E+13,53.93011024,-3.443599328,20.34433916,372,Afronycteris nana
Ametrida centurio,5.76647E+12,29.0234,-1.301412566,-60.16296264,226,Ametrida centurio
Anoura caudifer,5.94047E+12,42.52793323,-7.734048193,-61.59832587,141,Anoura caudifer
Anoura cultrata,7.575E+11,27.6663,-0.739862391,-74.70941476,263,Anoura cultrata
Anoura geoffroyi,8.20365E+12,51.47297947,-4.063751721,-63.74410037,294,Anoura geoffroyi
Anoura peruana,1.19699E+12,26.87882776,-8.616525265,-73.09854194,214,Anoura peruana
Antrozous pallidus,4.3676E+12,32.3806,33.6855961,-109.2229535,144,Antrozous pallidus
Artibeus amplus,1.4598E+12,12.45580725,6.494462185,-68.1768031,357,Artibeus amplus
Artibeus concolor,6.43773E+12,23.0428,-2.720771538,-58.31253774,347,Artibeus concolor
Artibeus fimbriatus,1.48043E+12,23.4171,-22.35519757,-48.21740716,195,Artibeus fimbriatus
Artibeus fraterculus,3.02071E+11,14.0582,-6.865304447,-78.53633141,304,Artibeus fraterculus
Artibeus hirsutus,2.28811E+11,12.0461,22.28196414,-105.1012206,279,Artibeus hirsutus
Artibeus jamaicensis,1.5599E+12,17.34314598,16.48567678,-88.5290547,25,Artibeus jamaicensis
Artibeus lituratus,1.4236E+13,56.0694,-5.337697727,-61.77231216,139,Artibeus lituratus
Artibeus obscurus,1.1123E+13,40.0893,-8.204189108,-56.80876287,248,Artibeus obscurus
Artibeus planirostris,7.90698E+12,33.9989,-7.778383618,-58.22541718,227,Artibeus planirostris
Asellia tridens,1.6926E+13,33.50567854,22.69700224,23.98223563,19,Asellia tridens
Austronomus australis,6.02599E+12,22.98817565,-27.48837805,133.8529304,233,Austronomus australis
Balantiopteryx io,1.70568E+11,3.765699999,16.86857495,-91.87518971,300,Balantiopteryx io
Balantiopteryx plicata,8.25041E+11,17.7615,17.84079966,-96.5445916,307,Balantiopteryx plicata
Balionycteris maculata,4.3967E+11,9.319807674,2.444306625,114.2928225,374,Balionycteris maculata
Barbastella barbastellus,3.81126E+12,32.20598148,47.78961057,15.23896551,92,Barbastella barbastellus
Cardioderma cor,2.24603E+12,24.82946334,5.267428794,40.99562232,373,Cardioderma cor
Carollia brevicauda,1.07492E+13,35.5441,-4.665038565,-59.93290755,124,Carollia brevicauda
Carollia castanea,2.50125E+12,19.5410024,5.831574258,-72.64008155,59,Carollia castanea
Carollia perspicillata,1.37964E+13,51.5163,-6.458902569,-60.1567183,93,Carollia perspicillata
Carollia sowelli,7.90178E+11,15.4607,15.87878183,-89.11281217,252,Carollia sowelli
Carollia subrufa,2.12261E+11,8.613520005,14.50378372,-89.75649931,206,Carollia subrufa
Centurio senex,2.08437E+12,21.14525533,13.6936649,-83.93048732,22,Centurio senex
Chalinolobus dwyeri,5.40243E+11,13.5239,-28.56933598,150.5099906,368,Chalinolobus dwyeri
Chalinolobus gouldii,7.36943E+12,32.5267,-26.01504071,134.1240007,179,Chalinolobus gouldii
Chalinolobus morio,2.3166E+12,23.9361,-31.22868472,136.9944752,243,Chalinolobus morio
Chalinolobus nigrogriseus,1.47687E+12,22.2619,-16.9849733,138.3317805,301,Chalinolobus nigrogriseus
Chalinolobus picatus,1.15416E+12,13.5286,-28.37588884,146.0601873,376,Chalinolobus picatus
Chiroderma salvini,3.41952E+12,45.4626,1.717507908,-77.7349554,114,Chiroderma salvini
Chiroderma trinitatum,9.38655E+12,34.7611,-4.636990152,-62.21910977,305,Chiroderma trinitatum
Chiroderma villosum,1.04147E+13,45.4481,-3.459952967,-64.35175674,272,Chiroderma villosum
Choeroniscus godmani,2.67933E+12,24.0838,8.323647195,-72.27618882,94,Choeroniscus godmani
Choeronycteris mexicana,1.77787E+12,20.2234,24.45880955,-104.072071,375,Choeronycteris mexicana
Chrotopterus auritus,1.31168E+13,53.0556,-7.015910193,-59.15155588,325,Chrotopterus auritus
Cnephaeus serotinus,1.01849E+13,32.70487793,44.52807692,42.43896567,245,Eptesicus serotinus
Coleura afra,2.79629E+12,37.40852832,4.773754472,30.66490287,169,Coleura afra
Cormura brevirostris,7.82627E+12,29.8343,-3.268553426,-62.736368,287,Cormura brevirostris
Corynorhinus mexicanus,5.14937E+11,12.9028,22.90323578,-102.3898161,86,Corynorhinus mexicanus
Corynorhinus rafinesquii,1.3362E+12,16.1116,33.89838407,-85.88089845,164,Corynorhinus rafinesquii
Corynorhinus townsendii,4.59689E+12,36.587,37.64952931,-110.147446,213,Corynorhinus townsendii
Cynomops planirostris,1.14503E+13,39.969,-7.050312311,-57.83719813,328,Cynomops planirostris
Cynopterus brachyotis,2.69982E+12,33.3917,11.56950966,100.0226141,48,Cynopterus brachyotis
Cynopterus horsfieldii,1.4856E+12,26.1064,0.287076549,108.574461,148,Cynopterus horsfieldii
Cynopterus sphinx,6.45652E+12,42.5894,18.63745475,91.21549415,224,Cynopterus sphinx
Dermanura anderseni,4.07216E+12,19.5176,-7.420912331,-66.42929706,176,Dermanura anderseni
Dermanura azteca,6.06576E+11,16.88283074,17.71443144,-96.6508831,320,Dermanura azteca
Dermanura bogotensis,2.53064E+11,15.54264724,4.042631643,-66.24733294,174,Dermanura bogotensis
Dermanura cinerea,4.32231E+12,34.37136555,-6.720771198,-48.243432,60,Dermanura cinerea
Dermanura glauca,2.66023E+12,31.15419975,0.793845857,-67.96161946,384,Dermanura glauca
Dermanura gnoma,1.00087E+13,32.2231,-5.623536273,-57.72775091,172,Dermanura gnoma
Dermanura phaeotis,3.73737E+12,28.9496,7.562433762,-75.04313103,136,Dermanura phaeotis
Dermanura tolteca,8.49395E+11,19.51818861,17.75074252,-95.7675754,182,Dermanura tolteca
Dermanura watsoni,5.54677E+11,18.07632922,11.94410904,-84.58247289,314,Dermanura watsoni
Desmodus rotundus,1.77265E+13,71.1355,-7.962835754,-63.53286044,20,Desmodus rotundus
Diaemus youngii,1.30592E+13,54.1176,-7.447805267,-58.66860041,58,Diaemus youngi
Diphylla ecaudata,8.09244E+12,59.0966,-5.604457295,-63.84815803,31,Diphylla ecaudata
Dobsonia magna,8.92765E+11,14.32357441,-5.45562914,141.2316773,389,Dobsonia magna
Doryrhina cyclops,2.33118E+12,19.55319317,3.878453991,7.977824309,216,Doryrhina cyclops
Ectophylla alba,1.24362E+11,6.702799999,13.33003508,-84.44364031,344,Ectophylla alba
Eidolon helvum,1.1789E+13,53.1272,-2.301039265,20.57209347,273,Eidolon helvum
Emballonura alecto,1.21206E+12,26.6817,2.957803364,117.5411417,80,Emballonura alecto
Emballonura monticola,1.69048E+12,21.5464,0.117723682,109.6724521,258,Emballonura monticola
Enchisthenes hartii,3.10411E+12,41.7584,3.768639205,-77.03943597,259,Enchisthenes hartii
Eonycteris spelaea,3.52563E+12,40.687,11.20391961,105.2385158,302,Eonycteris spelaea
Epomophorus crypturus,2.08438E+12,24.62695684,-16.80516597,31.33358534,210,Epomophorus crypturus
Epomophorus gambianus,3.79116E+12,10.63733707,9.346943502,11.49551234,49,Epomophorus gambianus
Epomophorus labiatus,1.76503E+12,30.1300255,5.872541812,32.78809338,283,Epomophorus labiatus
Epomophorus minor,2.21683E+12,28.43198734,-3.39223058,35.35395126,297,Epomophorus minor
Epomophorus pusillus,5.38092E+12,26.218,3.413522581,14.48541426,391,Epomophorus pusillus
Epomophorus wahlbergi,4.99992E+12,38.76707715,-10.71772559,28.39408694,88,Epomophorus wahlbergi
Epomops buettikoferi,1.07956E+12,8.716815031,7.962342546,-4.640081554,290,Epomops buettikoferi
Epomops franqueti,4.50972E+12,21.07400473,-0.424683341,19.32936433,321,Epomops franqueti
Eptesicus nilssonii,NA,NA,NA,NA,87,Eptesicus nilssonii
Erophylla sezekorni,1.22945E+11,9.214999999,21.38610939,-78.80018031,247,Erophylla sezekorni
Eumops auripendulus,1.41068E+13,53.5214,-7.021290719,-60.11247709,236,Eumops auripendulus
Eumops bonariensis,1.16109E+12,10.80441918,-29.85952749,-58.24270702,13,Eumops bonariensis
Eumops glaucinus,8.97123E+12,39.54222806,-8.773004065,-60.99866897,99,Eumops glaucinus
Eumops patagonicus,1.53579E+12,25.7395,-26.78663474,-60.64645261,355,Eumops patagonicus
Eumops perotis,1.16957E+13,71.6444,-7.088224718,-63.15646353,17,Eumops perotis
Falsistrellus tasmaniensis,3.86354E+11,17.1409,-34.98330941,148.5730737,311,Falsistrellus tasmaniensis
Gardnerycteris crenulatum,1.11341E+13,40.90854175,-4.351014797,-59.84558426,260,Gardnerycteris crenulata
Glauconycteris argentata,3.99626E+12,14.99247525,-2.927632122,23.48449473,343,Glauconycteris argentata
Glossophaga commissarisi,3.71673E+12,41.0883,2.080654964,-75.77175139,221,Glossophaga commissarisi
Glossophaga leachii,4.8089E+11,10.5596,15.7404614,-92.48099519,295,Glossophaga leachii
Glossophaga longirostris,1.53378E+12,12.63559873,6.525413287,-66.13211976,102,Glossophaga longirostris
Glossophaga morenoi,3.27073E+11,5.3084,17.81760904,-98.10873349,316,Glossophaga morenoi
Glossophaga soricina,1.48584E+13,61.3764,-5.200157064,-62.6160431,68,Glossophaga soricina
Hipposideros armiger,4.49937E+12,31.72684729,22.48862185,104.0986102,198,Hipposideros armiger
Hipposideros ater,3.67623E+12,51.4364,0.309593472,116.8189698,166,Hipposideros ater
Hipposideros beatus,1.63604E+12,10.87754704,2.943010787,14.89837109,362,Hipposideros beatus
Hipposideros bicolor,9.65219E+11,25.04446568,-0.693238431,114.0872099,53,Hipposideros bicolor
Hipposideros caffer,1.26472E+12,20.8478804,-18.90248722,30.48997053,326,Hipposideros caffer
Hipposideros cervinus,1.96493E+12,29.2559,-1.177150837,118.7457788,134,Hipposideros cervinus
Hipposideros cineraceus,2.20596E+12,40.0138,18.13099182,97.8192766,234,Hipposideros cineraceus
Hipposideros diadema,3.31884E+12,37.5645,2.050788673,116.694445,54,Hipposideros diadema
Hipposideros galeritus,2.77511E+12,34.128,8.792004889,97.86239595,165,Hipposideros galeritus
Hipposideros larvatus,3.28823E+12,36.3718,12.47667887,102.9001538,329,Hipposideros larvatus
Hipposideros ruber,9.06213E+12,32.27775106,1.321144071,19.4134985,358,Hipposideros ruber
Histiotus montanus,3.291E+12,66.1048,-26.70672219,-70.54228196,123,Histiotus montanus
Hylonycteris underwoodi,2.01149E+11,10.23647373,13.6652535,-88.137348,370,Hylonycteris underwoodi
Hypsignathus monstrosus,2.86067E+12,23.86241168,1.760789117,13.95095947,378,Hypsignathus monstrosus
Hypsugo savii,4.33543E+12,21.35670438,39.09254353,38.19527827,119,Hypsugo savii
Kerivoula hardwickii,3.4355E+12,37.63443574,9.07823082,105.6382696,171,Kerivoula hardwickii
Kerivoula papillosa,7.89928E+11,29.5024,2.322013428,106.6125277,250,Kerivoula papillosa
Laephotis capensis,1.37439E+13,51.55047416,-6.349854937,24.32246704,188,Laephotis capensis
Lasionycteris noctivagans,1.01108E+13,39.5027,43.79545782,-101.1557293,121,Lasionycteris noctivagans
Lasiurus blossevillii,1.83464E+13,89.60151298,2.337979878,-71.91744467,30,Lasiurus blossevillii
Lasiurus borealis,4.8815E+12,28.5800474,38.59849508,-89.34284546,5,Lasiurus borealis
Lasiurus cinereus,2.10712E+13,107.9802,27.66518464,-86.08030593,1,Lasiurus cinereus
Lasiurus ega,1.32052E+13,66.9227,-8.548824257,-60.90496133,257,Lasiurus ega
Lasiurus intermedius,1.74879E+12,31.28,24.26408657,-91.58779027,201,Lasiurus intermedius
Lasiurus seminolus,1.19353E+12,17.3965,32.35416938,-87.72946695,386,Lasiurus seminolus
Lasiurus xanthinus,1.7374E+12,16.892,26.98149013,-106.4874295,284,Lasiurus xanthinus
Lavia frons,7.56929E+12,30.33594353,4.736338345,21.21961131,150,Lavia frons
Leptonycteris curasoae,8.40356E+11,9.999400001,8.03916559,-70.54097959,16,Leptonycteris curasoae
Leptonycteris nivalis,9.49994E+11,15.2087,21.6703662,-100.461484,145,Leptonycteris nivalis
Leptonycteris yerbabuenae,1.2338E+12,20.1236,22.9786406,-102.7665066,125,Leptonycteris yerbabuenae
Lionycteris spurrelli,7.2744E+12,27.5657,-1.622311817,-64.48951366,339,Lionycteris spurrelli
Lonchophylla robusta,1.11613E+12,19.2353,5.192916608,-75.74883162,132,Lonchophylla robusta
Lonchophylla thomasi,8.38335E+12,30.4209,-3.073143667,-64.45730494,334,Hsunycteris thomasi
Lonchorhina aurita,1.1577E+13,46.7761,-4.785224538,-59.35144784,345,Lonchorhina aurita
Lophostoma brasiliense,8.09548E+12,41.9127,-2.104263246,-63.10003961,127,Lophostoma brasiliense
Lophostoma silvicolum,7.69151E+12,40.74731882,-3.125082985,-62.91699887,256,Lophostoma silvicola
Lyroderma lyra,6.06099E+12,34.2240242,21.29499898,89.35030334,122,Lyroderma lyra
Macroderma gigas,1.15679E+12,15.07815,-18.26226431,132.672677,331,Macroderma gigas
Macroglossus minimus,3.59025E+12,36.9588,-1.674653502,122.3241218,76,Macroglossus minimus
Macronycteris commersonii,3.66161E+11,13.663517,-19.08261655,46.62833566,10,Macronycteris commersonii
Macrophyllum macrophyllum,1.30666E+13,47.1116,-6.601951157,-59.31853884,377,Macrophyllum macrophyllum
Macrotus californicus,6.30013E+11,13.7878,30.79560749,-112.1391476,208,Macrotus californicus
Macrotus waterhousii,8.17691E+11,11.5772,19.92130064,-94.44213936,43,Macrotus waterhousii
Megaderma spasma,4.05689E+12,35.83086559,10.20593718,104.6333778,75,Megaderma spasma
Megaloglossus woermanni,3.12061E+12,18.43546525,-2.07280128,19.02921646,28,Megaloglossus woermanni
Mesophylla macconnelli,8.81765E+12,31.6804,-3.368670885,-64.02824118,110,Mesophylla macconnelli
Micronomus norfolkensis,74501366677,10.3947,-31.97436141,151.781,337,Micronomus norfolkensis
Micronycteris hirsuta,6.51565E+12,38.68241603,-0.635227462,-66.17083619,57,Micronycteris hirsuta
Micronycteris megalotis,1.20951E+13,37.8882,-6.324278362,-59.06020103,253,Micronycteris megalotis
Micronycteris microtis,4.39548E+12,37.9638,1.910261914,-67.11412108,47,Micronycteris microtis
Micronycteris minuta,1.20933E+13,43.7851,-6.263282044,-58.66928797,137,Micronycteris minuta
Micronycteris schmidtorum,6.5048E+12,47.067,-0.755886086,-63.45328495,264,Micronycteris schmidtorum
Mimetillus moloneyi,3.62135E+12,31.33610446,-3.722285997,21.65034901,44,Mimetillus moloneyi
Mimon bennettii,5.69871E+12,39.90075469,-7.232578304,-52.85750391,34,Mimon bennettii
Mimon cozumelae,8.03519E+11,18.2806,12.0626519,-82.52068172,207,Mimon cozumelae
Miniopterus africanus,2.77185E+12,29.76627698,2.207962518,37.60017978,219,Miniopterus africanus
Miniopterus australis,2.20173E+12,52.04799581,-4.734722243,128.4185713,2,Miniopterus australis
Miniopterus gleni,4.17528E+11,11.77333175,-18.13474426,46.89908137,291,Miniopterus gleni
Miniopterus inflatus,2.35E+12,31.09548412,-2.11661655,22.62196869,115,Miniopterus inflatus
Miniopterus manavi,5.11543E+11,13.78618145,-19.1705805,46.60157239,324,Miniopterus manavi
Miniopterus natalensis,3.7875E+12,57.09536408,-14.8165006,29.01284898,239,Miniopterus natalensis
Miniopterus schreibersii,2.89898E+12,18.95096336,40.91104722,13.19312829,23,Miniopterus schreibersii
Miniopterus tristis,7.32373E+11,36.4772211,1.264702711,131.9451636,45,Miniopterus tristis
Molossops temminckii,1.16055E+13,44.1769,-12.16814824,-57.77059524,308,Molossops temminckii
Molossus coibensis,6.80073E+12,31.64302572,-1.14383922,-63.51591672,382,Molossus coibensis
Molossus currentium,1.05764E+12,33.25670028,-18.35099098,-58.86773118,135,Molossus currentium
Molossus molossus,1.57677E+13,64.32207258,-7.554034236,-61.37123841,265,Molossus molossus
Molossus pretiosus,2.03443E+12,37.68479049,5.628496446,-70.7148559,231,Molossus pretiosus
Molossus rufus,1.48003E+13,61.8748,-6.919356184,-61.10759332,62,Molossus rufus
Molossus sinaloae,2.02457E+12,22.1928,12.10548973,-80.86588974,41,Molossus sinaloae
Monophyllus redmani,2.02239E+11,5.587999999,20.29350597,-75.4759435,183,Monophyllus redmani
Mops ansorgei,5.63324E+12,40.00457846,-1.191933003,25.09091086,33,Mops ansorgei
Mops bivittatus,1.89246E+12,38.51811184,-4.417086944,34.90835627,204,Mops bivittatus
Mops condylurus,9.10882E+12,43.21649104,-1.272291486,20.98170348,156,Mops condylurus
Mops jobensis,2.34017E+12,24.39559992,-18.0215577,132.6802128,330,Mops jobensis
Mops midas,4.15331E+11,43.65542435,-10.48554503,31.27577545,128,Mops midas
Mops nanulus,2.77517E+12,16.96319299,0.232379686,17.90972441,63,Mops nanulus
Mops plicatus,2.46234E+12,46.4457,7.628614632,104.9669039,197,Mops plicatus
Mops pumilus,6.94307E+12,48.52852761,0.46110101,20.33571499,116,Mops pumilus
Mops spurrelli,1.16214E+12,9.087635886,3.270966476,11.58145731,91,Mops spurrelli
