x,new
Lasiurus cinereus,Lasiurus cinereus
Miniopterus australis,Miniopterus australis
Tadarida brasiliensis,Tadarida brasiliensis
Rhinolophus blasii,Rhinolophus blasii
Lasiurus borealis,Lasiurus borealis
Saccolaimus saccolaimus,Saccolaimus saccolaimus
Vespertilio murinus,Vespertilio murinus
Tadarida aegyptiaca,Nyctinomus aegyptiacus
Myotis daubentonii,Myotis daubentonii
Macronycteris commersonii,Macronycteris commersonii
Myotis oxyotus,Myotis oxyotus
Rhinopoma hardwickii,Rhinopoma hardwickii
Eumops bonariensis,Eumops bonariensis
Rhinopoma microphyllum,Rhinopoma microphyllum
Myotis dasycneme,Myotis dasycneme
Leptonycteris curasoae,Leptonycteris curasoae
Eumops perotis,Eumops perotis
Sturnira ludovici,Sturnira ludovici
Asellia tridens,Asellia tridens
Desmodus rotundus,Desmodus rotundus
Nyctalus leisleri,Nyctalus leisleri
Centurio senex,Centurio senex
Miniopterus schreibersii,Miniopterus schreibersii
Myotis leibii,Myotis leibii
Artibeus jamaicensis,Artibeus jamaicensis
Nyctalus noctula,Nyctalus noctula
Scotophilus viridis,Scotophilus viridis
Megaloglossus woermanni,Megaloglossus woermanni
Peropteryx kappleri,Peropteryx kappleri
Lasiurus blossevillii,Lasiurus blossevillii
Diphylla ecaudata,Diphylla ecaudata
Rhinolophus hipposideros,Rhinolophus hipposideros
Mops ansorgei,Mops ansorgei
Mimon bennettii,Mimon bennettii
Myotis mystacinus,Myotis mystacinus
Pseudoromicia rendalli,Pseudoromicia rendalli
Rhinolophus euryale,Rhinolophus euryale
Phyllostomus discolor,Phyllostomus discolor
Pteronotus personatus,Pteronotus personatus
Pteropus conspicillatus,Pteropus conspicillatus
Molossus sinaloae,Molossus sinaloae
Myotis keaysi,Myotis keaysi
Macrotus waterhousii,Macrotus waterhousii
Mimetillus moloneyi,Mimetillus moloneyi
Miniopterus tristis,Miniopterus tristis
Plecotus auritus,Plecotus auritus
Micronycteris microtis,Micronycteris microtis
Cynopterus brachyotis,Cynopterus brachyotis
Epomophorus gambianus,Epomophorus gambianus
Scotoecus hirundo,Scotoecus hirundo
Pipistrellus nathusii,Pipistrellus nathusii
Myotis nattereri,Myotis nattereri
Hipposideros bicolor,Hipposideros bicolor
Hipposideros diadema,Hipposideros diadema
Scotophilus leucogaster,Scotophilus leucogaster
Myotis emarginatus,Myotis emarginatus
Micronycteris hirsuta,Micronycteris hirsuta
Diaemus youngi,Diaemus youngii
Carollia castanea,Carollia castanea
Dermanura cinerea,Dermanura cinerea
Mormoops megalophylla,Mormoops megalophylla
Molossus rufus,Molossus rufus
Mops nanulus,Mops nanulus
Vampyrodes caraccioli,Vampyrodes caraccioli
Myotis myotis,Myotis myotis
Platyrrhinus brachycephalus,Platyrrhinus brachycephalus
Rhinolophus lepidus,Rhinolophus lepidus
Glossophaga soricina,Glossophaga soricina
Myotis macropus,Myotis macropus
Pipistrellus abramus,Pipistrellus abramus
Pygoderma bilabiatum,Pygoderma bilabiatum
Myotis horsfieldii,Myotis horsfieldii
Platyrrhinus dorsalis,Platyrrhinus dorsalis
Nyctalus lasiopterus,Nyctalus lasiopterus
Megaderma spasma,Megaderma spasma
Macroglossus minimus,Macroglossus minimus
Myotis blythii,Myotis blythii
Phyllostomus latifolius,Phyllostomus latifolius
Myotis alcathoe,Myotis alcathoe
Emballonura alecto,Emballonura alecto
Myotis muricola,Myotis muricola
Pipistrellus pygmaeus,Pipistrellus pygmaeus
Taphozous australis,Taphozous australis
Vansonia rueppellii,Vansonia rueppellii
Myotis keenii,Myotis keenii
Corynorhinus mexicanus,Corynorhinus mexicanus
Eptesicus nilssonii,Eptesicus nilssonii
Epomophorus wahlbergi,Epomophorus wahlbergi
Sturnira bidens,Sturnira bidens
Pipistrellus tenuis,Pipistrellus tenuis
Mops spurrelli,Mops spurrelli
Barbastella barbastellus,Barbastella barbastellus
Carollia perspicillata,Carollia perspicillata
Choeroniscus godmani,Choeroniscus godmani
Myotis yumanensis,Myotis yumanensis
Neoeptesicus furinalis,Neoeptesicus furinalis
Scotorepens balstoni,Scotorepens balstoni
Nycteris grandis,Nycteris grandis
Eumops glaucinus,Eumops glaucinus
Rhinolophus mehelyi,Rhinolophus mehelyi
Rhinolophus clivosus,Rhinolophus clivosus
Glossophaga longirostris,Glossophaga longirostris
Vampyrodes major,Vampyrodes major
Rhinolophus ferrumequinum,Rhinolophus ferrumequinum
Rousettus leschenaultii,Rousettus leschenaultii
Rhinolophus simulator,Rhinolophus simulator
Myotis bechsteinii,Myotis bechsteinii
Natalus mexicanus,Natalus mexicanus
Pteropus scapulatus,Pteropus scapulatus
Mesophylla macconnelli,Mesophylla macconnelli
Scotorepens sanborni,Scotorepens sanborni
Rhinolophus pusillus,Rhinolophus pusillus
Ozimops ridei,Ozimops ridei
Chiroderma salvini,Chiroderma salvini
Miniopterus inflatus,Miniopterus inflatus
Mops pumilus,Mops pumilus
Uroderma magnirostrum,Uroderma magnirostrum
Myotis thysanodes,Myotis thysanodes
Hypsugo savii,Hypsugo savii
Rousettus aegyptiacus,Rousettus aegyptiacus
Lasionycteris noctivagans,Lasionycteris noctivagans
Lyroderma lyra,Lyroderma lyra
Histiotus montanus,Histiotus montanus
Carollia brevicauda,Carollia brevicauda
Leptonycteris yerbabuenae,Leptonycteris yerbabuenae
Neoeptesicus brasiliensis,Neoeptesicus brasiliensis
Lophostoma brasiliense,Lophostoma brasiliense
Mops midas,Mops midas
Otomops martiensseni,Otomops martiensseni
Platyrrhinus lineatus,Platyrrhinus lineatus
Phyllostomus hastatus,Phyllostomus hastatus
Lonchophylla robusta,Lonchophylla robusta
Rhinolophus fumigatus,Rhinolophus fumigatus
Hipposideros cervinus,Hipposideros cervinus
Molossus currentium,Molossus currentium
Dermanura phaeotis,Dermanura phaeotis
Micronycteris minuta,Micronycteris minuta
Pipistrellus pipistrellus,Pipistrellus pipistrellus
Artibeus lituratus,Artibeus lituratus
Pipistrellus nanulus,Pipistrellus nanulus
Anoura caudifer,Anoura caudifer
Scotonycteris zenkeri,Scotonycteris zenkeri
Rhinolophus hildebrandtii,Rhinolophus hildebrandtii
Antrozous pallidus,Antrozous pallidus
Leptonycteris nivalis,Leptonycteris nivalis
Vampyressa pusilla,Vampyressa pusilla
Myotis septentrionalis,Myotis septentrionalis
Cynopterus horsfieldii,Cynopterus horsfieldii
Phylloderma stenops,Phylloderma stenops
Lavia frons,Lavia frons
