Season,Species,AUC_rf,AUC_gl,AUC_mx,AUC_bc,thr_AUC,AUC_AUCw_en,AUC_tssw_en,tss_rf,tss_gl,tss_mx,tss_bc,thr_tss,tss_AUCw_en,tss_tssw_en
summer,Ametrida centurio,0.060025,0.16,0.13140625,0.054931641,0.073,0.470588235,0.474845201,0.862616099,0.737229102,0.777089783,0.875773994,0.054,0.84249226,0.86880805
summer,Anoura caudifer,0.109450694,0.219509602,0.204170096,0.108046125,0.185,0.476973684,0.476860254,0.891560799,0.790381125,0.834845735,0.695780399,0.142,0.895644283,0.891560799
summer,Anoura geoffroyi,0.143492734,0.144845335,0.175650105,0.064245455,0.083,0.479522285,0.479344476,0.950806069,0.791488857,0.826102418,0.569227122,0.075,0.94179706,0.950806069
summer,Antrozous pallidus,0.214610633,0.15884268,0.216202537,0.172230012,0.511,0.493391418,0.493154339,0.95068753,0.800497866,0.919985775,0.790303461,0.507,0.953058321,0.953058321
summer,Artibeus amplus,0,0.25,0.25,0,0.56,0.496138996,0.5,0.857142857,0.952702703,0.986486486,0.857142857,0.301,0.986486486,1
summer,Artibeus concolor,0.0625,0.203954214,0.234131113,0.0625,0.161,0.487837838,0.487837838,0.886486486,0.858108108,0.902702703,0.87972973,0.104,0.92972973,0.92972973
summer,Artibeus fimbriatus,0,0.25,0.091135635,0,0.161,0.436602871,0.46291866,0.818181818,0.861842105,0.703947368,0.805023923,0.08,0.796052632,0.818181818
summer,Artibeus hirsutus,0.027777778,0.094336735,0.130975057,0.058979592,0.029,0.477994555,0.478221416,0.862068966,0.83076225,0.889972777,0.896551724,0.023,0.924455535,0.924455535
summer,Artibeus intermedius,0.15405625,0.132944379,0.226966732,0.151900066,0.237,0.478751778,0.478573969,0.913229018,0.639758179,0.919630156,0.818278805,0.215,0.919630156,0.926386913
summer,Artibeus jamaicensis,0.156025,0.077866058,0.120487663,0.065657214,0.516,0.441486486,0.438153153,0.786276276,0.575405405,0.71003003,0.468588589,0.475,0.786276276,0.781831832
summer,Artibeus lituratus,0.185976563,0.118396481,0.178268332,0.084417914,0.567,0.426921095,0.421968049,0.775309208,0.636738433,0.726637655,0.535616125,0.529,0.777828676,0.771071919
summer,Artibeus obscurus,0.104814063,0.153266813,0.168584376,0.05231862,0.125,0.455455455,0.455205205,0.863947281,0.708541875,0.808975642,0.797547548,0.087,0.844844845,0.863947281
summer,Artibeus planirostris,0.126815123,0.195671761,0.22249911,0.15533844,0.215,0.441429201,0.443632491,0.864571093,0.669800235,0.739130435,0.766157462,0.17,0.839012926,0.864571093
summer,Asellia tridens,0.026950694,0.172252125,0.20044641,0.102567389,0.182,0.480524642,0.486883943,0.868839428,0.804054054,0.898648649,0.907392687,0.136,0.912162162,0.912162162
summer,Balantiopteryx io,0.24750625,0.25,0.25,0,0.814,0.5,0.5,1,0.932432432,0.939189189,0.777777778,0.645,1,1
summer,Balantiopteryx plicata,0.060025,0.15558642,0.207530864,0.217777778,0.17,0.483530405,0.483108108,0.882882883,0.756193694,0.904279279,0.97972973,0.141,0.931869369,0.925112613
summer,Barbastella barbastellus,0.23309016,0.195126638,0.244481406,0.182350801,0.528,0.481641979,0.481878349,0.947959344,0.740899779,0.929995273,0.834777813,0.516,0.942562244,0.942562244
summer,Cardioderma cor,0.01,0.188202855,0.239092236,0.221453287,0.41,0.488542891,0.49853114,0.869565217,0.80787309,0.909224442,0.844594595,0.308,0.902467685,0.986486486
summer,Carollia brevicauda,0.145997945,0.193410799,0.221810614,0.1223119,0.178,0.427884615,0.428014553,0.758835759,0.670651421,0.760914761,0.533957034,0.157,0.758489258,0.758489258
summer,Carollia castanea,0.18275625,0.180625,0.211246302,0.073785364,0.342,0.469948018,0.468810916,0.916098116,0.832196231,0.863466537,0.806692658,0.301,0.916098116,0.916098116
