"Season","Species","rf_forest","rf_karst","rf_Mines","rf_landcover","rf_ndvi","rf_elev","rf_prec","rf_srad","rf_tavg","rf_vapr","rf_wind","gl_intercept","gl_forest","gl_karst","gl_Mines","gl_landcover","gl_ndvi","gl_elev","gl_prec","gl_srad","gl_tavg","gl_vapr","gl_wind","mx_forest","mx_karst","mx_Mines","mx_landcover","mx_ndvi","mx_elev","mx_prec","mx_srad","mx_tavg","mx_vapr","mx_wind"
"summer","Ametrida centurio",1.130478534,6.397553201,0.235943432,1.234011297,0.967561108,1.808869608,3.167623935,1.27831839,2.597353068,3.298211766,2.500434844,-0.004366359,0.000536076,-0.002437445,0.10956029,0.002345213,8.96e-06,-0.004104524,0.04517477,-0.031001921,-3.32e-05,-1.15e-05,0.000727078,0,0.533,0.001,0.005,0,0.168,0.006,0.128,0.024,0.328,0.168
"summer","Anoura caudifer",10.8890205,7.795988269,0.216021663,3.441355376,5.997069441,7.290151155,3.41381374,12.90347698,6.697844346,6.395246884,11.3160536,0.382904812,0.001981218,-7.17e-05,0.017939931,0.009894923,-3.96e-05,0.025839239,-0.14158126,-0.059360655,0.000113839,1.99e-05,-0.000118176,0.024,0.079,0,0.02,0.024,0.161,0.016,0.365,0.047,0.126,0.125
"summer","Anoura geoffroyi",10.57729824,6.452476467,1.303805399,6.280314209,13.35526811,23.59697822,24.15810436,14.53392721,5.960495525,9.945258303,12.28736368,-0.098338397,0.001813163,-0.000768432,0.03806904,0.000822318,-2.07e-05,0.018460645,-0.061741907,-0.006521185,0.000211928,2.48e-05,0.001212956,0.034,0.014,0.007,0.019,0.174,0.532,0.099,0.042,0.091,0.066,0.012
"summer","Antrozous pallidus",4.216699843,7.566990698,1.179777109,22.22425237,21.98342258,16.16806375,13.500378,65.70711412,26.095027,7.574528912,17.71418416,-1.014400683,0.002114829,-0.002925365,0.281068978,-0.027037805,7.66e-05,-0.019005169,0.268833188,0.086626222,8.12e-05,-4.03e-05,-0.00032449,0.01,0.05,0.01,0.102,0.048,0.09,0.056,0.595,0.034,0.056,0.037
"summer","Artibeus amplus",0.745757367,0.781857208,0.644772604,0.602356264,0.867908835,1.087942927,1.769832302,0.753795532,0.804506272,1.138501716,2.599425908,0.003343821,-0.000385632,-0.000973156,0.008868845,0.003444648,-8.73e-09,0.00158411,-0.016086364,-0.019819065,1.58e-06,2.29e-06,0.000524286,0.03,0.133,0,0.036,0,0,0.099,0.055,0,0,0.924
"summer","Artibeus concolor",2.062318604,6.564488073,0.140006857,1.507291472,2.048860222,1.343746127,5.316246306,1.049230543,1.990604613,4.535397021,4.173271155,-0.015212524,0.00085309,-0.002896063,-0.013193327,0.004489431,3.59e-06,-0.000693095,0.044902387,-0.0247055,-2.16e-05,-1.03e-05,0.000798178,0.001,0.316,0.013,0.12,0.002,0.11,0.175,0,0.081,0.004,0.345
"summer","Artibeus fimbriatus",0.666058815,1.019023833,0.02314127,0.902283074,1.357427927,1.790303237,0.902234381,5.38226137,1.937114937,2.307892326,1.093227993,0.150217263,-0.00070835,-0.000304392,-0.020742941,0.002649135,-1.93e-05,0.008072395,-0.014654882,0.016352276,4.83e-06,1.54e-05,-0.00039407,0,0,0.088,0.002,0.004,0.374,0.038,0.815,0.121,0,0
"summer","Artibeus hirsutus",1.011020204,4.519784381,1.522582672,1.525589961,2.222446667,5.104839749,9.007190858,7.109975388,2.310491118,4.060742477,3.767150651,-0.239864242,-0.001998628,-7.86e-05,0.110183716,0.006579602,-1.72e-07,0.01099194,-0.080765577,-0.017474837,8.67e-05,1.28e-05,0.00156785,0,0.053,0.005,0.028,0.095,0.005,0.809,0.358,0.001,0.01,0.095
"summer","Artibeus intermedius",3.498031788,11.11020109,0.855801149,3.934619668,6.54866228,7.050827095,22.06256509,16.15433207,7.944740015,13.40171644,6.749083559,-0.683102055,-3.4e-05,0.005430674,0.115560979,0.003614552,4.2e-06,0.00091057,0.205605884,0.022522084,0.000110169,1.85e-05,0.000679188,0.004,0.054,0,0.034,0.11,0.215,0.296,0.22,0.364,0.022,0.002
"summer","Artibeus jamaicensis",11.25582445,10.37379935,1.37355424,10.60191031,19.8542162,10.23537417,39.6033118,18.8239363,25.32442651,44.93449894,16.99087983,-0.205785562,0.000383166,0.001578157,-0.160334651,-0.002421365,-1.91e-05,0.007279148,0.333330106,0.004891429,0.000122996,1.36e-05,0.00052717,0.069,0.037,0.007,0.011,0.05,0.121,0.1,0.115,0.184,0.306,0.042
