Season,Species,AUC_rf,AUC_gl,AUC_mx,AUC_bc,thr_AUC,AUC_AUCw_en,AUC_tssw_en,tss_rf,tss_gl,tss_mx,tss_bc,thr_tss,tss_AUCw_en,tss_tssw_en
winter,Ametrida centurio,0.25,0.228733459,0.242806133,0,0.627,0.498550725,0.499033816,0.992753623,0.913043478,0.992753623,0.8,0.49,0.992753623,0.992753623
winter,Anoura caudifer,0.048739053,0.114556213,0.154912886,0.050625,0.08,0.457106124,0.458391772,0.814633006,0.702664797,0.775128565,0.794530154,0.058,0.817905563,0.839644694
winter,Anoura geoffroyi,0.06902562,0.160279843,0.198741381,0.085494897,0.15,0.47327044,0.473954061,0.840442986,0.747744053,0.804894722,0.760049221,0.114,0.833196609,0.838255401
winter,Antrozous pallidus,0.050522779,0.165840851,0.215992131,0.121011046,0.343,0.476247987,0.483628556,0.867149758,0.570853462,0.879227053,0.883252818,0.247,0.898550725,0.923510467
winter,Artibeus amplus,0,0.139229227,0.187346848,0,0.27,0.481884058,0.49057971,0.8,0.789855072,0.920289855,0.792753623,0.135,0.920289855,0.920289855
winter,Artibeus concolor,0.13875625,0.085909631,0.200951249,0,0.204,0.453904992,0.453904992,0.929951691,0.821256039,0.88647343,0.763285024,0.151,0.929951691,0.929951691
winter,Artibeus fimbriatus,0,0.126211911,0.173611111,0.126211911,0.084,0.489855072,0.492028986,0.8,0.782608696,0.891304348,0.95,0.064,0.899275362,0.9
winter,Artibeus hirsutus,0.01500625,0.216143429,0.232763927,0.105340105,0.213,0.492753623,0.492372235,0.887490465,0.847826087,0.949275362,0.940122044,0.137,0.932875667,0.940122044
winter,Artibeus intermedius,0.148500128,0.178994083,0.207636468,0.110966294,0.326,0.493088071,0.493534002,0.954738016,0.829765886,0.961984392,0.903121516,0.282,0.977369008,0.970122631
winter,Artibeus jamaicensis,0.137158261,0.164353543,0.161123085,0.121520983,0.481,0.470468283,0.471014493,0.868982594,0.706066565,0.782390212,0.617471415,0.508,0.868982594,0.87400772
winter,Artibeus lituratus,0.185575125,0.133654304,0.177098227,0.106852154,0.537,0.408689924,0.405625251,0.687747036,0.612648221,0.714097497,0.616600791,0.484,0.693675889,0.693675889
winter,Artibeus obscurus,0.07980625,0.157748093,0.159548342,0.104800345,0.227,0.462788876,0.466118292,0.82569526,0.793772033,0.833333333,0.829024677,0.182,0.84155895,0.84155895
winter,Artibeus planirostris,0.15800625,0.221218759,0.222816001,0.199460643,0.308,0.458100158,0.459319845,0.866193141,0.758717176,0.843736548,0.797101449,0.274,0.871502368,0.871502368
winter,Asellia tridens,0.01,0.135234131,0.198168574,0.076961498,0.175,0.478529254,0.489533011,0.851851852,0.695652174,0.891304348,0.838969404,0.112,0.884057971,0.884057971
winter,Balantiopteryx io,0,0.111111111,0.230776624,0,0.296,0.471618357,0.486714976,0.833333333,0.822463768,0.833333333,0.833333333,0.122,0.862318841,0.884057971
winter,Balantiopteryx plicata,0.165316167,0.185740684,0.231824417,0.192328022,0.334,0.484165325,0.484836286,0.941223833,0.7568438,0.900966184,0.909017713,0.296,0.952495974,0.952495974
winter,Barbastella barbastellus,0.228802778,0.225352094,0.249425618,0.215370673,0.51,0.497405014,0.497405014,0.949764982,0.903446925,0.964747356,0.835389738,0.521,0.949764982,0.949764982
winter,Cardioderma cor,0.140625,0.20806402,0.245633272,0.060326254,0.374,0.495804729,0.497330282,0.940122044,0.778794813,0.942028986,0.894736842,0.309,0.963768116,0.963768116
winter,Carollia brevicauda,0.159500391,0.132231405,0.167355372,0.112567875,0.258,0.466122035,0.463721961,0.837718084,0.760869565,0.793132096,0.695190621,0.257,0.837718084,0.837718084
winter,Carollia castanea,0.144671556,0.179680687,0.221582963,0.097016931,0.308,0.475383632,0.475170503,0.905157715,0.767263427,0.832480818,0.76001705,0.247,0.891091219,0.905157715
winter,Carollia perspicillata,0.16200625,0.130501563,0.179211111,0.116451563,0.434,0.447885241,0.444602189,0.805678793,0.737296658,0.783436853,0.685152322,0.425,0.797515528,0.797515528
winter,Carollia sowelli,0.03900625,0.082424558,0.137617066,0.000260146,0.056,0.459473967,0.45598497,0.867149758,0.760064412,0.853462158,0.7568438,0.04,0.867149758,0.867149758
winter,Carollia subrufa,0.047185494,0.202164318,0.237110854,0.117843618,0.216,0.46773637,0.479468599,0.868530021,0.67494824,0.781573499,0.82194617,0.143,0.855072464,0.908902692
winter,Centurio senex,0.094976033,0.201896873,0.229570941,0.073569488,0.377,0.480848861,0.482142857,0.885093168,0.692805383,0.867236025,0.798136646,0.251,0.899068323,0.931418219
winter,Chaerephon jobensis,0.195314892,0.219483704,0.236909015,0.111111111,0.349,0.487060041,0.486542443,0.954451346,0.863354037,0.956521739,0.906832298,0.332,0.971014493,0.971014493
winter,Chaerephon plicatus,0,0.058115434,0.053890306,7.97E-05,0.1,0.432065217,0.445652174,0.75,0.710144928,0.773550725,0.75,0.05,0.751811594,0.751811594
winter,Chaerephon pumilus,0.113639958,0.101057064,0.218433241,0.124720499,0.165,0.449969164,0.450585877,0.856460068,0.60715387,0.793709528,0.696577243,0.142,0.830403947,0.856460068
winter,Chaerephon pusillus,0.015625,0.216143429,0.212084488,0.0625,0.213,0.488768116,0.494927536,0.85,0.725362319,0.92826087,0.892753623,0.123,0.921014493,0.942753623
winter,Chalinolobus dwyeri,0.111111111,0.207049075,0.25,0.0625,0.163,0.498597475,0.498597475,0.928237494,0.920289855,0.992753623,0.903225806,0.117,0.985507246,0.985507246
winter,Chalinolobus gouldii,0.23765625,0.230299052,0.221187938,0.168600031,0.631,0.478691347,0.477926053,0.942028986,0.920289855,0.949275362,0.858875018,0.604,0.949275362,0.949275362
winter,Chalinolobus morio,0.232660061,0.228559204,0.248712172,0.178072029,0.585,0.49284364,0.492708615,0.957556936,0.935817805,0.964803313,0.835403727,0.572,0.963768116,0.963768116
winter,Chalinolobus nigrogriseus,0.173611111,0.247275225,0.25,0.140625,0.373,0.483664947,0.483910587,0.944362564,0.869565217,0.963768116,0.927413412,0.312,0.971014493,0.971014493
winter,Chalinolobus picatus,0.245025,0.150649239,0.241042165,0.151527658,0.564,0.5,0.5,0.992753623,0.913043478,0.992753623,0.961038961,0.518,1,1
winter,Chiroderma salvini,0.0324,0.105625,0.196410124,0.186466942,0.116,0.454849498,0.459308807,0.799331104,0.615384615,0.810479376,0.81884058,0.095,0.818283166,0.824972129
winter,Chiroderma trinitatum,0.060025,0.207612513,0.21130333,0.048293607,0.327,0.484057971,0.492391304,0.892753623,0.811594203,0.876811594,0.856521739,0.217,0.934782609,0.934782609
winter,Chiroderma villosum,0.125771556,0.157373506,0.181794469,0.070720927,0.195,0.47559676,0.476982097,0.904944587,0.665387894,0.738704177,0.702046036,0.154,0.875532822,0.904944587
