Season,Species,rf_forest,rf_karst,rf_Mines,rf_landcover,rf_ndvi,rf_elev,rf_prec,rf_srad,rf_tavg,rf_vapr,rf_wind,gl_intercept,gl_forest,gl_karst,gl_Mines,gl_landcover,gl_ndvi,gl_elev,gl_prec,gl_srad,gl_tavg,gl_vapr,gl_wind,mx_forest,mx_karst,mx_Mines,mx_landcover,mx_ndvi,mx_elev,mx_prec,mx_srad,mx_tavg,mx_vapr,mx_wind
winter,Ametrida centurio,5.573326899,4.652663322,0.043790345,1.028848983,4.907382678,0.472203376,0.639973184,1.537186973,1.239626586,1.872608887,1.226425964,0.000354817,0.002401471,-0.002382452,-0.051359794,0.000936338,-1.37E-05,0.003359363,0.129627666,0.021640562,3.46E-05,2.82E-06,-0.001027711,0.615,0.584,0,0.001,0.61,0.104,0.074,0.032,0.047,0,0
winter,Anoura caudifer,4.471956941,6.790999969,0.331009217,2.851471268,16.9602995,8.477058671,10.38876266,6.258409994,7.526947519,10.19855353,6.322945007,-0.097372128,-0.000280617,-0.003509676,-0.103379074,0.003298028,2.29E-06,-0.002291544,-0.018026698,-0.012191591,7.71E-05,6.71E-05,0.00050913,0.001,0.141,0.009,0,0.376,0.064,0.091,0.259,0.175,0.339,0.027
winter,Anoura geoffroyi,21.28808852,4.23975411,2.399181297,4.233201354,26.8253837,10.17644168,6.113631851,13.91313465,12.01837129,15.12433732,5.160197921,-0.363750509,0.002896288,-0.00161732,0.204350481,0.006451186,-5.92E-06,1.34E-05,0.188367628,0.025975293,0.000127882,5.96E-05,-0.001493831,0.056,0.013,0.009,0.026,0.287,0.137,0.075,0.195,0.08,0.268,0.03
winter,Antrozous pallidus,1.526918796,5.695935,1.058634771,7.178371065,6.875899826,5.223925961,5.494549044,11.19207266,12.49037563,9.90265063,5.966471679,0.857023839,-0.000702433,-9.82E-05,0.022477496,-0.012957966,-3.53E-05,0.022011282,-0.196701544,-0.020145778,4.23E-05,-1.45E-05,-0.000120164,0.002,0.074,0.01,0.086,0.002,0.047,0.093,0.42,0.41,0.385,0.116
winter,Artibeus amplus,1.256873,1.357509347,0.141896817,0.96469271,2.483948004,1.155695835,2.136210998,1.285955804,1.141035802,1.669478179,1.845906754,-0.059391928,0.000784608,-0.001268571,0.013574071,0.002361373,-5.47E-06,-0.000368418,0.094012457,0.009358021,2.74E-05,1.99E-05,-0.001231169,0,0.193,0,0.051,0.807,0.001,0.325,0,0,0.108,0
winter,Artibeus concolor,4.867901841,7.102805482,0.090612771,0.951685557,2.411464953,1.404796782,1.246782201,1.721585166,2.025760007,3.135349993,1.406983248,0.006450238,0.003145676,-0.001961172,0.040690177,-0.001666486,-1.20E-05,0.0024774,0.213498769,0.026522785,2.21E-05,-3.16E-05,-0.001049143,0.13,0.678,0.022,0,0,0,0.089,0.03,0,0.487,0.001
winter,Artibeus fimbriatus,1.820189091,1.374315845,0.135586466,2.348016225,4.612865198,1.039719999,4.194129538,4.645612087,1.93798931,5.264138299,2.970325159,-0.257103343,-1.99E-06,0.000376597,-0.078587536,0.004556785,1.40E-05,-0.006683802,0.025870952,-0.004049881,-2.63E-05,3.33E-05,0.000322254,0,0.046,0.033,0.079,0.384,0.119,0.206,0.24,0,0.229,0.059
winter,Artibeus hirsutus,1.081157518,4.731668012,0.80635719,1.340712374,2.985913289,3.755084785,4.826817679,2.922929191,2.667036645,2.794330924,2.432202919,0.136665065,-0.001649738,-0.001639472,0.082129599,0.005574201,-1.36E-05,0.003589899,0.066234643,-0.014118644,4.04E-05,3.84E-05,-0.001906258,0.027,0.04,0.002,0.031,0.157,0.073,0.605,0.357,0.605,0.017,0.027
winter,Artibeus intermedius,4.106171456,13.31482238,0.858546972,3.839262793,12.96034088,3.829918692,8.337009727,10.89673469,7.240554385,12.82808628,4.25090748,-0.123942558,0.000999656,0.002584578,0.150857087,0.000720435,-1.42E-05,0.002976493,0.218522278,0.014782766,9.96E-05,5.98E-05,-0.003546218,0.002,0.089,0.001,0.01,0.406,0.007,0.131,0.26,0.203,0.025,0.03
winter,Artibeus jamaicensis,10.91901661,14.0292546,0.994137561,9.320271665,29.64808246,12.19514112,13.62547356,26.77244802,25.43860864,33.78799865,10.95264723,-0.195678957,-0.000894846,0.000829504,0.072518657,0.005818465,-1.41E-05,-0.001324873,0.38642473,0.00770503,7.08E-05,5.23E-05,-0.001897766,0.037,0.03,0.005,0.023,0.19,0.056,0.113,0.242,0.085,0.309,0.055
