"Latin.Name","summer_tif","winter_tif","D","I","rank.corr","sum_lon","sum_lat","win_lon","win_lat","distance","bearing"
"Ametrida centurio","./Summer_SDMs_redone/Ametrida centurio_summer.tif","./Winter_SDMs_redone/Ametrida centurio.tif",0.129349642911123,0.354433872089278,0.301357647398674,-60.2441624879704,1.68873144912121,-57.9098925651264,3.18815364137669,308036.472602458,-122.509819939418
"Anoura caudifer","./Summer_SDMs_redone/Anoura caudifer_summer.tif","./Winter_SDMs_redone/Anoura caudifer.tif",0.514082839772547,0.527899801047637,0.297001858588114,-63.8484178981145,-8.74251607052789,-59.9791298886475,-6.125970373891,515889.64580465,-124.354812046382
"Anoura cultrata","./Summer_SDMs_redone/Anoura cultrata_summer.tif","./Winter_SDMs_redone/Anoura cultrata.tif",0.1649783589654,0.401260448875183,0.26937416400411,-72.3685390834355,-3.27228391697325,-70.2179259907297,-3.41692566841637,239534.566186324,-86.2345933580457
"Anoura geoffroyi","./Summer_SDMs_redone/Anoura geoffroyi_summer.tif","./Winter_SDMs_redone/Anoura geoffroyi.tif",0.614001721006729,0.707053254387908,0.510525460781091,-69.1153003175673,0.707113127988553,-68.0829630311317,-0.695769352124527,193051.448309399,-36.5334475138639
"Anoura peruana","./Summer_SDMs_redone/Anoura peruana_summer.tif","./Winter_SDMs_redone/Anoura peruana.tif",0.0225755166931292,0.137727184461923,0.130675788342681,-73.8001589825119,-5.69838367779544,-72.8976824457594,-8.59837278106509,335847.178527374,-17.3250021945303
"Antrozous pallidus","./Summer_SDMs_redone/Antrozous pallidus_summer.tif","./Winter_SDMs_redone/Antrozous pallidus.tif",0.543688225787842,0.721525316275556,0.532082940702505,-109.0335902294,36.1012698635955,-103.389122727899,36.2484317649417,507990.768907566,-90.1736306606256
"Artibeus amplus","./Summer_SDMs_redone/Artibeus amplus_summer.tif","./Winter_SDMs_redone/Artibeus amplus.tif",0.486242838345729,0.686896235776831,0.248557286395327,-65.112602381849,2.7686797840959,-64.6130924411866,3.27923049212167,79186.9746466191,-135.460868398398
"Artibeus anderseni","./Summer_SDMs_redone/Artibeus anderseni_summer.tif","./Winter_SDMs_redone/Artibeus anderseni.tif",0.385056389616508,0.609990005500366,0.36582595599077,-66.7952980904261,-4.2732127604129,-70.4825515913385,-3.82985152351887,412367.650714701,96.9560194618736
"Artibeus aztecus","./Summer_SDMs_redone/Artibeus aztecus_summer.tif","./Winter_SDMs_redone/Artibeus aztecus.tif",0.553618297712829,0.570442830195153,0.477835312766039,-97.1005672770701,18.492585589172,-95.616079240095,18.4347425321835,156928.890504289,-87.426846963213
"Artibeus bogotensis","./Summer_SDMs_redone/Artibeus bogotensis_summer.tif","./Winter_SDMs_redone/Artibeus bogotensis.tif",0.537480737163379,0.724040211303936,0.358710913391778,-65.3799199265335,2.36141410489749,-69.1591063348416,1.62392156862745,428276.988611468,78.9615512414563
"Artibeus cinereus","./Summer_SDMs_redone/Artibeus cinereus_summer.tif","./Winter_SDMs_redone/Artibeus cinereus.tif",0.267691804537395,0.517176798305971,0.189839810411176,-66.0830516654382,-0.67881874978063,-61.3388697168935,-7.20776522200042,893613.786053951,-36.314793312721
"Artibeus concolor","./Summer_SDMs_redone/Artibeus concolor_summer.tif","./Winter_SDMs_redone/Artibeus concolor.tif",0.56563367928651,0.584234999444986,0.523660130834312,-63.4717999317839,2.80272133703649,-62.7750376897484,2.24194868995633,99244.408933264,-51.3174810378608
