Latin Name,Common Name,Status,Fig_stat,Colors,Additional migration info,Source,Mig Status (based on Fleming & Eby 2003),sum_lon,sum_lat,win_lon,win_lat,distance (m),dist (km),bearing,D,I,rank.corr
Emballonura monticola,Lesser Sheath-tailed Bat,Migratory,Migratory,Migratory,mig - McGuire & Ratcliffe,McGuire & Ratcliffe 2011,Short-distance Migrant,112.5159945,4.95100566,114.0458493,3.279921021,250996.7858,250.9967858,-42.53849178,0.169221423,0.303030962,0.143110341
Emballonura semicaudata,Polynesian Sheath-tailed Bat,Migratory,Migratory,Migratory,mig - McGuire & Ratcliffe,McGuire & Ratcliffe 2011,,,,,,,,,,,
Saccolaimus flaviventris,Yellow-bellied Pouched Bat,Migratory,Migratory,Migratory,"Potential migrant - Bonaccorso, Dunlop says known to migrate",Bonaccorso 2019; Dunlop 1998; https://animalia.bio/yellow-bellied-sheath-tailed-bat?property=76,Short-distance Migrant,137.7735075,-24.91014925,141.5760327,-24.68670085,385272.2403,385.2722403,-94.47964186,0.545980496,0.669839186,0.402978588
Taphozous melanopogon,Black-bearded Tomb Bat,Migratory,Migratory,Migratory,"Mig - M&R2011, animalia.bio says nonmigratory but provides no evidence",McGuire & Ratcliffe 2011; https://animalia.bio/black-bearded-tomb-bat,Short-distance Migrant,94.13463064,19.81495015,91.86153039,17.61570843,341651.1315,341.6511315,44.20339333,0.256331426,0.500644839,0.406283954
Taphozous nudiventris,Naked-rumped Tomb Bat,Migratory,Migratory,Migratory,mig- W&M2022,Webber & McGuire 2022,,,,,,,,,,,
Asellia tridens,Geoffroy's Trident Leaf-nosed Bat,Migratory,Migratory,Migratory,potential migrant - Harrison; mig-W&M2022,Harrison 1957; Owens & Qumsiyeh 1986; Webber & McGuire 2022,Long-distance Migrant,33.36190625,32.13254779,23.12089344,24.03994529,1346728.704,1346.728704,45.97572357,0.081617486,0.271255617,0.071663048
Hipposideros lankadiva,Indian Leaf-nosed Bat,Migratory,Migratory,Migratory,mig - McGuire & Ratcliffe,McGuire & Ratcliffe 2011,,,,,,,,,,,
Macronycteris commersonii,Commerson's Leaf-nosed Bat,Migratory,Migratory,Migratory,"partial migrant? - O'Shea & Vaughan, evidence of migration - Hutson 2001",Rakotoarivelo et al 2019; O'Shea & Vaughan 1980; https://animalia.bio/commersons-roundleaf-bat?property=76; see Hutson et al 2001 about M.B. Fenton personal communication; ,Long-distance Migrant,20.9889254,2.273226134,29.69633475,-13.91988973,2032410.036,2032.410036,-28.87433757,0.181830071,0.325633888,0.016722075
Macronycteris vittata,Striped Leaf-nosed Bat,Migratory,Migratory,Migratory,local seasonal migrations assoc. with prey fluc - Rakotoarivelo et al 2019,Rakotoarivelo et al 2019,,,,,,,,,,,
Miniopterus australis,Little Long-fingered Bat,Migratory,Migratory,Migratory,Mig - M&R; mig-W&M2022; animalia.bio says nonmigratory but provides no evidence,McGuire & Ratcliffe 2011; Webber & McGuire 2022; https://animalia.bio/little-bent-wing-bat,Long-distance Migrant,65.55628765,-4.963893188,89.6043545,-16.8032568,2932023.906,2932.023906,-66.21662139,0.258697305,0.506705559,0.041665076
