Family,Genus,Species,Latin_Name,Common_Name,Status,Details,Sources,,,FE_Status,sum_lon,sum_lat,win_lon,win_lat,dist_m,dist_km,bearing,D,I,rank.corr
Pteropodidae,Epomophorus,pusillus,Epomophorus pusillus,Peters' Lesser Epauletted Fruit Bat,Unknown,,,,,Nonmigratory,14.2464134,6.892844499,14.37660043,6.84677039,15264.52403,15.26452403,-70.49245998,0.421535014,0.572825849,0.471885052
Vespertilionidae,Scotophilus,heathii,Scotophilus heathii,Greater Asiatic Yellow House Bat,Nonmigratory,NM; Mohan et al 2022 also suggests NM,Bisson et al. 2009; Mohan et al 2022,,,Nonmigratory,88.90475955,22.87337855,88.7661301,22.80767615,15981.63557,15.98163557,62.89063033,0.475271063,0.542728997,0.393403763
Pteropodidae,Dobsonia,magna,Dobsonia magna,New Guinea Naked-backed Fruit Bat,Unknown,,,,,Nonmigratory,140.6269487,-7.014104719,140.6599957,-6.831070169,20568.69471,20.56869471,-169.7744394,0.806615193,0.879751198,0.822642113
Vespertilionidae,Vespadelus,darlingtoni,Vespadelus darlingtoni,Large Forest Bat,Nonmigratory,NM - Bisson,Bisson et al. 2009,,,Nonmigratory,147.7388163,-35.26371356,147.8549137,-35.07930035,23031.40464,23.03140464,-152.6975283,0.427758805,0.638653905,0.599174947
Rhinolophidae,Rhinolophus,subrufus,Rhinolophus subrufus,Small Rufous Horseshoe Bat,Unknown,,,,,Nonmigratory,122.920997,11.98975496,122.6929332,11.99344452,24840.88201,24.84088201,90.91774525,0.545486978,0.726894714,0.474633613
Vespertilionidae,Lasiurus,seminolus,Lasiurus seminolus,Seminole Bat,Migratory,LD - Bisson; mig- W&M2022; mig-Medellin; mig-Perry 2010,Bisson et al. 2009; Webber & McGuire 2022; Medellin 2003; Perry et al 2010,,,Nonmigratory,-88.13831674,30.97192184,-87.98023933,30.78884217,25307.7195,25.3077195,-36.63502454,0.599511446,0.736021644,0.704633389
Emballonuridae,Taphozous,georgianus,Taphozous georgianus,Sharp-nosed Tomb Bat,Nonmigratory,nonmigratory emballonurid - species studied over course of 1 year,Dunlop 1998,,,Nonmigratory,134.1611261,-21.86492224,134.1779278,-22.09980553,26066.45281,26.06645281,-3.820036672,0.795031997,0.848381848,0.679589837
Phyllostomidae,Dermanura,glauca,Dermanura glauca,Silvery Fruit-eating Bat,Unknown,,,,,Nonmigratory,-63.49333937,-3.531086322,-63.3903393,-3.29056896,28954.28945,28.95428945,-156.7181236,0.772735721,0.814053779,0.505467584
Emballonuridae,Rhynchonycteris,naso,Rhynchonycteris naso,Proboscis Bat,Nonmigratory,nonmigratory emballonurid - species studied over course of 1 year - Dunlop; nm-Medellin2003,Dunlop 1998; Medellin 2003,,,Nonmigratory,-64.77390497,-0.328301794,-64.63099615,-0.577613834,31828.18566,31.82818566,-29.98801793,0.742193913,0.760564274,0.568866514
Molossidae,Molossus,coibensis,Molossus coibensis,Coiban Mastiff Bat,Nonmigratory,NM - Louriero et al 2020 says Molossus sp are nonmig & aerial insectivores; nm-Medellin,Louriero et al 2020 (check citations 26-29); Medellin 2003,,,Nonmigratory,-63.91964635,-3.930698455,-63.75137765,-3.686261115,32862.40605,32.86240605,-145.3424455,0.539354023,0.732665328,0.304185044
