taxon,CaveBuilding Roosting,RangeArea_km2,LonExtent_degrees,Wingspan,WingArea,AspectRatio,WingLoading_Nm-2,TiplengthRatio,TipareaRatio,TipshapeIndex,RelativeWingLoading,Leuconoe_Trawler,Selysius_Aerial Netter,Myotis_Gleaner,HARD,CBL,MTL,MAB,adult_mass_g,brain_mass_g,adult_body_length_mm,adult_forearm_length_mm,max_longevity_d,female_maturity_d,age_first_reproduction_d,gestation_length_d,litter_size_n,litters_per_year_n,interbirth_interval_d,weaning_age_d,generation_length_d,hibernation_torpor,Aerial_Forager,Scansorial_Forager,island_dwelling,occurs_on_mainland,occurs_on_isolated_islands,disected_by_mountains,glaciation,Neotropical,Nearctic,Afrotropical,Palearctic,Indomalayan,Australasian,Oriental,HB1,HB2,HB3,HB4,HB5,HB6,NM,SD,LD,dist_km,bearing,D,I,rank_corr
Myotis_albescens,1,14594616.94,60.19,0.23,0.0077,6.9,7.5,,,,41.5,1,0,0,3.1,12.87,4.98,7.22,5.69,0.126,62,35.99,2407.019,106.82,199.07,92.25,0.99,2.5,321.487,30.32,1088.955,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,188.6971746,-149.0486668,0.722140143,0.829402107,0.422007877
Myotis_alcathoe,0,2860473,,,,,,,,,,0,1,0,1.33,12.3,4.94,6.97,5,0.158,50,31.4,8760,365,456,66.47,1,1,364.75,50.057,2864.16,1,1,0,,1,0,,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,758.8617178,68.72658193,0.128936537,0.358881325,0.234628691
Myotis_austroriparius,1,,,0.254,,,,,,,,1,0,0,,13.61,5.34,7.45,7.35,0.145,57.696,38,2190,188.68,362.5,77.2,1.94,1,354.615,46.8,892.475,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,257.4260236,-146.3817783,0.536155445,0.720028071,0.618051495
Myotis_bechsteinii,1,2516791.77,56.35,0.256,0.011,6,9,1.02,0.83,4.37,41.63,0,0,1,2.37,16.6,7,8.45,9.985,0.265,53,41.99,7665,365.127,434.872,66.013,1,1,364.75,44.127,1825,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,607.2528483,96.47031238,0.374950167,0.606910287,0.457237277
Myotis_blythii,1,6194563.15,129.71,,,6.7,10.1,,,,35.79,0,0,1,3.48,20.85,9.09,10.11,24.262,0.523,75,58.49,12045,420.91,489.91,69,1,1,364.75,41.995,2555,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,773.0442624,120.0355047,0.298949259,0.412721601,0.372056045
Myotis_bocagii,1,1819165.95,58.92,0.323,0.0123,7.3,7.25,,,,35.39,1,0,0,2.3,,5.5,,7.93,0.21,58.932,38,7141.368,477.565,575.62,76.635,0.99,1.004,364.533,56.645,2185.195,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,310.2163095,125.8989379,0.282491876,0.525139359,0.081924015
Myotis_californicus,1,3984266.86,39.54,0.22,0.0086,5.6,4.8,1.45,1.13,3.53,29.74,0,1,0,2.27,12.49,5.03,6.76,4.39,0.249,53,33.14,5475,391.083,489.596,77.701,0.99,1,364.494,89.79,2119.947,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,458.227834,-22.57838257,0.652642028,0.693088726,0.547130575
Myotis_capaccinii,1,,,,0.0056,,10.5,,,,,1,0,0,1.2,14.31,5.69,8.01,23.82,0.479,72,40,12045,410.255,475.255,65,1,1,364.75,41.995,2190,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,285.6119597,119.3289954,0.404288082,0.55420075,0.537163141
Myotis_ciliolabrum,0,,,,,,,,,,,0,1,0,2.89,,5.6,7.32,5,0.261,53,33.5,5475,365.25,486.203,74.011,1,1,364.75,89.79,2215.138,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,324.9103932,-0.584324956,0.62310717,0.641475907,0.462260503
Myotis_dasycneme,1,5423864.51,92.6,0.271,0.0108,6.8,10.4,1.43,0.78,1.2,46.2,1,0,0,1.58,16.68,6.51,9.53,15,0.31,61,45.5,7482.5,374.462,436.994,68.376,1,1.004,364.761,45.847,1825,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1590.463977,72.00988971,0.188067711,0.432513562,0.345321989
