"taxon","NM","SD","LD","dist_.km.","bearing","D","I","rank.corr","adult_mass_g","brain_mass_g","adult_body_length_mm","adult_forearm_length_mm","max_longevity_d","maturity_d","female_maturity_d","male_maturity_d","age_first_reproduction_d","gestation_length_d","teat_number_n","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","weaning_mass_g","generation_length_d","dphy_invertebrate","dphy_vertebrate","dphy_plant","det_inv","det_vend","det_vect","det_vfish","det_vunk","det_scav","det_fruit","det_nect","det_seed","det_plantother","X1_dietary.cat","X2_dietary.cat","X3_dietary.cat","X4_dietary.cat","herbivore","omnivore","carnivore","aerial.foraging","scansorial.foraging","arboreal.foraging","ground.level.aquatic.foraging","upper_elevation_m","lower_elevation_m","altitude_breadth_m","island_dwelling","Occurs.on.mainland","Island.endemic","disected_by_mountains","glaciation","Nearctic","Neotropical","HB1","HB2","HB3","HB4"
"Ametrida_centurio",0,1,0,308.0364726,-122.5098199,0.129349643,0.354433872,0.301357647,11.305,0.29,55,29,6025.173,NA,343.884,NA,475.773,111.907,NA,1,1.91,244.586,NA,38.145,NA,2037.805,0,0,100,0,0,0,0,0,0,100,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2100,NA,NA,0,1,0,1,0,0,1,1,0,0,0
"Anoura_caudifer",0,1,0,515.8896458,-124.354812,0.51408284,0.527899801,0.297001859,11.155,0.422,57.16,36.25,4707.583,NA,427.843,NA,532.35,107.97,NA,0.995,1.666,249.319,2.14,56.531,NA,2040.048,30,0,70,30,0,0,0,0,0,30,40,0,0,0,0,1,0,0,1,0,0,0,1,0,2880,200,2680,0,1,0,1,0,0,1,1,0,0,0
"Anoura_cultrata",0,1,0,239.5345662,-86.23459336,0.164978359,0.401260449,0.269374164,17.39,0.556,78,42.8,4680.145,NA,346.051,NA,457.491,116.695,NA,1.22,1.749,243.755,3.65,56.366,NA,1967.697,30,0,70,30,0,0,0,0,0,30,40,0,0,0,0,1,0,1,0,0,0,0,1,0,2600,50,2550,0,1,0,1,0,0,1,0,1,0,0
"Anoura_geoffroyi",0,1,0,193.0514483,-36.53344751,0.614001721,0.707053254,0.510525461,15.2,0.583,73,42.66,3650,NA,500.387,NA,630.647,121.76,NA,1,1,365,5.1,62.5,8.24,1963.008,30,0,70,30,0,0,0,0,0,30,40,0,0,0,0,1,0,0,0,1,0,0,1,0,3600,400,3200,0,1,0,1,0,0,1,0,0,1,0
"Artibeus_amplus",1,0,0,79.18697465,-135.4608684,0.486242838,0.686896236,0.248557286,61.04,1.141,92.325,70.5,6011.063,NA,383.434,NA,511.639,117.123,NA,1,1.826,238.248,NA,46.324,NA,2074.716,10,0,90,10,0,0,0,0,0,80,10,0,0,1,0,0,0,0,1,0,0,0,1,0,2630,25,2605,0,1,0,1,0,0,1,1,0,0,0
"Artibeus_concolor",1,0,0,99.24440893,-51.31748104,0.565633679,0.584234999,0.523660131,19.675,0.633,71.683,47.34,5840.654,NA,352.735,NA,481.318,114.131,NA,0.989,1.89,238.343,NA,45.85,NA,2064.512,10,0,90,10,0,0,0,0,0,80,10,0,0,1,0,0,0,1,0,0,0,0,1,0,1000,NA,NA,0,1,0,0,0,0,1,1,0,0,0
"Artibeus_fimbriatus",0,1,0,381.5192429,-117.7519689,0.245558117,0.273203921,0.199866388,63.895,1.149,91.141,NA,5950.901,NA,392.648,NA,518.744,117.544,NA,0.992,1.801,237.943,NA,47.592,NA,2094.158,10,0,90,10,0,0,0,0,0,80,10,0,0,1,0,0,0,0,1,0,0,0,1,0,NA,NA,NA,0,1,0,1,0,0,1,1,0,0,0
"Artibeus_fraterculus",0,1,0,181.7978399,-179.4833596,0.502904662,0.572923115,0.556664099,45.65,0.947,93,56,7014.083,326.825,288.37,365.28,394.91,106.54,NA,1,2,219.849,8.9,15,33.79,1876.919,10,0,90,10,0,0,0,0,0,80,10,0,0,1,0,0,0,0,1,0,0,0,1,0,NA,NA,NA,0,1,0,1,0,0,1,0,1,0,0
"Artibeus_hirsutus",0,1,0,218.227584,-43.42803599,0.403811087,0.535077771,0.468419717,40.42,0.804,70,55.88,6227.931,NA,316.646,NA,445.714,112.195,NA,0.98,1.963,229.487,NA,36.594,NA,1948.277,10,0,90,10,0,0,0,0,0,80,10,0,0,1,0,0,0,0,1,0,0,0,1,0,NA,NA,NA,0,1,0,1,0,0,1,0,0,1,0
"Artibeus_jamaicensis",0,0,1,1243.165411,-43.60856951,0.549430288,0.599447447,0.4171038,46.1,0.93,93,60.34,7014.083,333.22,288.37,365.28,440.57,106.54,NA,1,2,219.849,8.9,15,33.79,1920.478,10,0,90,10,0,0,0,0,0,80,10,0,0,1,0,0,0,0,1,0,0,0,1,0,NA,NA,NA,0,1,0,1,0,0,1,0,0,0,1
