Latin Name,Common Name,Status,Fig_stat,Mig_or_NM,Combo,Choices,Additional migration info,Source,,Mig Status (based on Fleming & Eby 2003),percent overlap ,sum_lon,sum_lat,win_lon,win_lat,distance (m),dist (km),bearing,D,I,rank.corr
Cistugo lesueuri,Lesueur's wing-gland bat,Unknown,Unknown,0,,Migratory,,,,,,,,,,,,,,,
Cistugo seabrae,Angolan wing-gland bat,Unknown,Unknown,0,,Migratory/Nonmigratory,,,,,,,,,,,,,,,
Craseonycteris thonglongyai,Hog-nosed bat,Unknown,Unknown,0,,Migratory/Potential Nonmigrant,,,,,,,,,,,,,,,
Balantiopteryx infusca,Ecuadorian sac-winged bat,Unknown,Unknown,0,,Nonmigratory,,,,,,,,,,,,,,,
Balantiopteryx io,Thomas's sac-winged bat,Nonmigratory,Nonmigratory,2,,Potential Migrant,"Dunlop says NM (sp studied over 1 year), animalia says unknown - likely not migratory, also has small range size",Dunlop 1998; https://animalia.bio/thomass-sac-winged-bat,,Short-distance Migrant,13.72986191,-90.36215104,16.52260122,-91.47274449,17.84132675,187771.1846,187.7711846,140.8430406,0.417782027,0.477304157,0.268595072
Balantiopteryx plicata,Gray sac-winged bat,Nonmigratory,Nonmigratory,2,,Potential Migrant/Nonmigratory,"Dunlop says NM (species studied for 1 year), Nagy says no evidence to suggest seasonal migration - does mention individuals will forage up to 12km from day roost",Nagy et al 2014 - dispersal and social organization in the neotropical grey sac-winged bat,,Short-distance Migrant,14.27826004,-95.735452,20.0212886,-97.11039109,19.18069459,171651.2616,171.6512616,56.94410687,0.516953941,0.624871802,0.523674862
Centronycteris centralis,Thoma's shaggy bat,Unknown,Unknown,0,,Potential Migrant/Potential Nonmigrant,,,,,,,,,,,,,,,
Centronycteris maximiliani,Shaggy bat,Unknown,Unknown,0,,Potential Nonmigrant,,,,,,,,,,,,,,,
Coleura afra,African sheath-tailed bat,Nonmigratory,Nonmigratory,2,,Unknown,NM - M&R2011,McGuire & Ratcliffe 2011,,Short-distance Migrant,19.05540865,17.42737002,5.761898755,17.60193273,9.692815626,435164.972,435.164972,-177.4514803,0.23288322,0.465768267,0.158537688
Coleura gallarum,Somali sheath-tailed bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Coleura kibomalandy,Madagascar sheath-tailed bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Coleura seychellensis,Seychelles sheath-tailed bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Cormura brevirostris,Chestnut sac-winged bat,Nonmigratory,Nonmigratory,2,,,nonmigratory emballonurid - species studied over course of 1 year,Dunlop 1998,,Short-distance Migrant,44.19890928,-64.74366813,-1.782235809,-63.04566173,-2.527967763,206101.8375,206.1018375,-66.44976598,0.610895559,0.766691188,0.494824843
Cyttarops alecto,Short-eared bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Diclidurus isabella,Isabelle's ghost bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Diclidurus albus,Northern ghost bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Diclidurus ingens,Greater ghost bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Diclidurus scutatus,Lesser ghost bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Emballonura alecto,Small Asian Sheath-tailed Bat,Potential Nonmigrant,Nonmigratory,4,,,"Potentially not migratory - has low wing loading, low aspect ratio",Tanalgo et al. 2012 ,,Short-distance Migrant,15.58861218,119.8761839,8.244491934,117.4065457,1.880873517,755070.5567,755.0705567,21.16745677,0.305546347,0.497752404,0.293578232
Emballonura beccarii,Beccari's Sheath-tailed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Emballonura dianae,Large-eared Sheath-tailed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Emballonura furax,New Guinean Sheath-tailed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Emballonura monticola,Lesser Sheath-tailed Bat,Migratory,Migratory,1,,,mig - McGuire & Ratcliffe,McGuire & Ratcliffe 2011,,Short-distance Migrant,5.773656191,112.5159945,4.95100566,114.0458493,3.279921021,250996.7858,250.9967858,-42.53849178,0.169221423,0.303030962,0.143110341
Emballonura raffrayana,Raffray's Sheath-tailed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Emballonura semicaudata,Polynesian Sheath-tailed Bat,Migratory,Migratory,1,,,mig - McGuire & Ratcliffe,McGuire & Ratcliffe 2011,,,,,,,,,,,,,
Emballonura serii,Seri's Sheath-tailed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Mosia nigrescens,Dark Sheath-tailed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Paremballonura atrata,Peters's Sheath-tailed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Paremballonura tiavato,Rock-loving Sheath-tailed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Peropteryx kappleri,Greater Dog-like Bat,Nonmigratory,Nonmigratory,2,,,nonmigratory emballonurid - species studied over course of 1 year,Dunlop 1998; https://animalia.bio/greater-dog-like-bat,,Long-distance Migrant,5.812299057,-66.21375902,-2.0260024,-71.30132596,7.53252327,1198526.944,1198.526944,151.6782526,0.061302326,0.247229,0.052604257
Peropteryx leucoptera,White-winged Dog-like Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
