Family,Genus,Species,Latin_Name,Common_Name,Fig_stat,Status,Details,Sources
Vespertilionidae,Lasiurus,cinereus,Lasiurus cinereus,Hoary Bat,,Migratory,"LD/PM in NA; altitudinal mig. suggested in McGuire & Boyle 2013; mig - W&M2022; mig-Medellin; mig-CMS2020; mig-Cryan 2003, mention of alt mig - Adams 2018",Fleming 2019; Bisson et al 2009; McGuire & Boyle 2013; Weller et al 2016 - first direct evidence of LD movements & hibernation; Clerc et al 2021; Rojas-Herrera et al 2023; Webber & McGuire 2022; Wieringa et al 2021; Medellin 2003; CMS 2020; Cryan 2003
Miniopteridae,Miniopterus,australis,Miniopterus australis,Little Long-fingered Bat,,Migratory/Nonmigratory,Mig - M&R; mig-W&M2022; NM - Bisson,McGuire & Ratcliffe 2011; Webber & McGuire 2022; Bisson et al 2009
Molossidae,Tadarida,brasiliensis,Tadarida brasiliensis,Brazilian Free-tailed Bat,,Migratory/Nonmigratory,"LD/PM in NA; altitudinal mig. suggested in McGuire & Boyle 2013, Moussy has some subspecies as migratory, others as NM; LD-B&B2014;  partial migrant - Cockrum 1969, mig-W&M2022, mig-Burland & Wilmer 2001; model mig routes - Weiderholt2013; mig-Medellin; mig-Cockrum 1969","Fleming 2019; Burns & Broder 2014; McGuire & Boyle 2013, Moussy et al 2013; Cockrum 1969; Krauel et al 2018; Webber & McGuire 2022; Burland & Wilmer 2001; Wiederholt 2013; Medellin 2003; Cockrum 1969"
Rhinolophidae,Rhinolophus,blasii,Rhinolophus blasii,Blasius' Horseshoe Bat,,Nonmigratory,NM in Europe - Fleming 2003; sedentary - Hutterer et al. 2005; nm-W&M2022,Fleming 2003; Hutterer et al. 2005; Webber & McGuire 2022
Vespertilionidae,Lasiurus,borealis,Lasiurus borealis,Eastern Red Bat,,Migratory,"LD - Bisson, mig - M&R2011, mig-W&M2022; mig-Medellin; mig - CMS2020; mig-Cryan 2003",Fleming 2019; McGuire & Ratcliffe 2011; Bisson et al 2009; Rojas-Herrera et al 2023; Webber & McGuire2022; Medellin 2003; CMS 2020; Cryan 2003; Wieringa et al 2021
Emballonuridae,Saccolaimus,saccolaimus,Saccolaimus saccolaimus,Naked-rumped Pouched Bat,,Unknown,no mention of migration found,"Australian govt documentation (https://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66889), Reza et al 2022"
Vespertilionidae,Vespertilio,murinus,Vespertilio murinus,Particolored Bat,,Migratory,"LD - Bisson, PM in Europe - Fleming 2019; altitudinal mig. suggested in McGuire & Boyle 2013, mig - Moussy, LD - Fleming 2003, mig-Ahlen2009, mig-W&M2022; mig-Hutterer","Fleming 2019/2003; Bisson et al 2009; Ahlen et al. 2009; Hutterer et al. 2005; McGuire & Boyle 2013; Dietz & Kiefer 2016, Moussy et al 2013; Webber & McGuire 2022"
Molossidae,Tadarida,aegyptiaca,Tadarida aegyptiaca,Egyptian Free-tailed Bat,,Potential Migrant,"le Grange suggests possible migration but provides no evidence; Mohan et al 2022 also suggests evidence of potential/partial migration, unk-O&V1980",le Grange et al 2010 - reproductive stategy of the Egyptian free-tailed bat; Mohan et al 2022; O'Shea & Vaughan 1980
Vespertilionidae,Myotis,daubentonii,Myotis daubentonii,Daubenton's Myotis,,Migratory/Nonmigratory,"RM in Europe - Fleming 2003; SD - Bisson/Burns & Broder; resident - Ahlen 2009, RM - Hutterer et al. 2005; altitudinal mig. suggested in McGuire & Boyle 2013, mig - Moussy, mig-M&R2011","Fleming 2003; McGuire & Ratcliffe 2011; Bisson et al 2009; Burns & Broder 2014; Ahlen et al. 2009; Hutterer et al. 2005; McGuire & Boyle 2013, Moussy et al 2013"
Hipposideridae,Macronycteris,commersonii,Macronycteris commersonii,Commerson's Leaf-nosed Bat,,Migratory,"partial migrant?(has some variable presence) - O'Shea & Vaughan, evidence of migration - Hutson 2001",Rakotoarivelo et al 2019; O'Shea & Vaughan 1980; see Hutson et al 2001 about M.B. Fenton personal communication; 
